Epoch, Train Loss, Val Loss
1, 31274.34954249859, 23437.88434934616
2, 25992.166663765907, 22309.724300026894
3, 23695.81023925543, 20471.52536147833
4, 22273.742359519005, 18674.966800630093
5, 20881.636810660362, 18024.327175855637
6, 20363.571268498898, 17909.063915371895
7, 19429.668527543545, 17059.88673055172
8, 18904.517448306084, 17081.77787220478
9, 18565.34813296795, 16253.02924823761
10, 18050.839156597853, 15489.52649897337
11, 17764.678825318813, 15571.27747309208
